fileID,f1,f2,vot,notes
ne01_kaka,884.82,1649.43,40.19,
ne01_kaka1,952.05,1765.13,39.46,
ne01_kaka2,1075.41,1757.36,31.50,
ne01_keke,469.67,2478.24,42.58,
ne01_keke1,600.69,2479.50,27.76,
ne01_keke2,492.73,2636.76,29.53,
ne01_kiki,355.34,2845.25,40.22,
ne01_kiki1,1104.70,2202.33,47.60,
ne01_kiki2,438.62,2786.30,43.25,
ne01_koko,658.48,1075.02,48.31,
ne01_koko1,578.39,1064.98,29.51,
ne01_koko2,635.85,1101.21,36.82,
ne01_kuku,491.10,1107.39,57.71,
ne01_kuku1,445.90,1014.67,58.14,
ne01_kuku2,1096.63,2149.35,54.34,
ne01_paka,758.11,1497.56,18.71,
ne01_paka1,834.41,1629.03,13.05,
ne01_paka2,859.14,1666.78,13.87,
ne01_peke,415.58,2659.51,10.42,
ne01_peke1,410.67,2707.10,21.43,
ne01_peke2,552.77,2516.76,8.92,
ne01_piki,403.87,2812.27,8.37,
ne01_piki1,419.04,2878.69,8.83,
ne01_piki2,372.14,2924.74,7.50,
ne01_poko,525.12,1080.22,28.01,
ne01_poko1,575.92,1155.73,23.00,
ne01_poko2,504.76,1051.98,12.61,
ne01_puku,418.73,1062.33,24.58,
ne01_puku1,450.19,1063.20,48.67,
ne01_puku2,440.99,1008.97,60.22,
ne01_taka,890.72,1698.45,13.44,
ne01_taka1,1222.93,1814.54,15.20,
ne01_taka2,931.09,1718.42,10.13,
ne01_teke,517.97,2460.73,17.22,
ne01_teke1,546.85,2470.61,14.08,
ne01_teke2,867.14,2509.85,11.96,
ne01_tiki,376.31,2873.18,22.50,
ne01_tiki1,385.36,2841.13,25.83,
ne01_tiki2,361.52,3008.15,34.11,
ne01_toko,593.95,999.15,33.69,
ne01_toko1,440.77,1079.55,27.41,
ne01_toko2,551.39,1062.25,14.46,
ne01_tuku,423.33,1062.47,41.33,
ne01_tuku1,413.78,1072.83,30.00,
ne01_tuku2,1064.97,1691.07,42.02,
