fileID,f1,f2,vot,notes
ne02_kaka,625.04,1450.66,40.52,
ne02_kaka1,912.75,2227.37,52.96,
ne02_kaka2,485.01,1554.72,38.40,
ne02_keke,471.82,2410.09,38.89,
ne02_keke1,454.08,2463.22,43.51,
ne02_keke2,496.93,2246.12,30.03,
ne02_kiki,356.95,2690.69,64.60,
ne02_kiki1,340.12,2807.65,61.98,
ne02_kiki2,330.59,2755.46,57.93,
ne02_koko,559.35,1043.15,44.29,
ne02_koko1,474.37,1029.53,36.39,
ne02_koko2,538.08,1079.39,41.07,
ne02_kuku,940.54,1222.27,60.90,
ne02_kuku1,272.55,1188.27,62.72,
ne02_kuku2,484.30,1140.82,54.15,
ne02_paka,759.49,1656.33,20.09,
ne02_paka1,867.85,1517.73,13.54,
ne02_paka2,982.80,1787.02,9.59,
ne02_peke,545.49,2391.64,45.57,
ne02_peke1,517.46,2467.16,12.50,
ne02_peke2,528.27,2472.26,35.19,
ne02_piki,338.55,2622.86,11.08,
ne02_piki1,382.05,2682.34,9.21,
ne02_piki2,448.62,2642.34,8.73,
ne02_poko,577.39,1032.36,15.50,
ne02_poko1,1041.00,2169.92,21.70,
ne02_poko2,660.94,1665.19,18.80,
ne02_puku,437.58,1055.24,22.62,
ne02_puku1,494.58,1212.06,37.47,
ne02_puku2,450.49,1261.72,26.14,
ne02_taka,844.30,1760.39,21.87,
ne02_taka1,827.99,1586.05,16.37,
ne02_taka2,806.88,1662.91,22.15,
ne02_teke,518.29,2401.02,24.37,
ne02_teke1,485.75,2476.42,31.17,
ne02_teke2,668.83,1850.88,29.25,
ne02_tiki,304.93,2851.02,41.07,
ne02_tiki1,315.85,2739.38,35.18,
ne02_tiki2,300.40,2721.68,30.30,
ne02_toko,482.03,998.79,30.68,
ne02_toko1,597.52,1158.39,42.12,
ne02_toko2,543.65,1018.67,33.02,
ne02_tuku,470.01,1304.51,26.14,
ne02_tuku1,443.93,1122.89,37.45,
ne02_tuku2,780.21,1296.80,33.79,
