fileID,f1,f2,vot,notes
bi02_kaka,786.26,1574.41,17.57,
bi02_kaka1,784.74,1537.05,21.80,
bi02_kaka2,539.91,1497.62,19.14,
bi02_keke,469.71,2204.56,20.95,
bi02_keke1,465.70,2337.05,17.29,
bi02_keke2,538.39,2292.10,15.74,
bi02_kiki,335.94,2619.64,31.47,
bi02_kiki1,348.16,2687.09,16.07,
bi02_kiki2,336.45,2571.23,21.57,
bi02_koko,617.59,997.14,27.59,
bi02_koko1,595.46,965.90,27.10,
bi02_koko2,463.24,894.71,28.14,
bi02_kuku,471.77,907.80,22.82,
bi02_kuku1,467.66,918.90,22.37,
bi02_kuku2,292.41,780.04,18.88,
bi02_paka,806.40,1633.73,4.43,
bi02_paka1,730.43,1474.26,6.42,
bi02_paka2,682.31,1619.98,4.51,
bi02_peke,500.00,2264.08,18.36,
bi02_peke1,460.94,2355.07,12.79,
bi02_peke2,482.01,2361.75,10.62,
bi02_piki,355.77,1698.78,17.61,
bi02_piki1,286.29,2579.54,6.59,
bi02_piki2,569.77,2681.20,11.89,
bi02_poko,582.04,919.16,14.92,
bi02_poko1,576.44,945.29,10.19,
bi02_poko2,566.03,1057.59,12.65,
bi02_puku,506.89,898.01,25.62,
bi02_puku1,462.38,853.90,16.18,
bi02_puku2,450.94,801.84,19.07,
bi02_taka,808.43,1554.31,25.35,
bi02_taka1,743.77,1527.11,10.94,
bi02_taka2,501.23,1441.77,13.69,
bi02_teke,527.36,2214.13,11.80,
bi02_teke1,466.49,2332.69,21.27,
bi02_teke2,431.05,1010.09,13.04,
bi02_tiki,646.49,2370.04,18.35,
bi02_tiki1,345.93,2752.33,11.39,
bi02_tiki2,370.21,1111.80,16.58,
bi02_toko,471.78,900.89,6.77,
bi02_toko1,552.11,963.63,10.25,
bi02_toko2,602.13,999.05,8.66,
bi02_tuku,472.49,960.77,10.37,
bi02_tuku1,466.99,929.58,12.99,
bi02_tuku2,520.52,831.25,11.57,
